"","Visit",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","x","xmin","xmax"
"1","V1","diversity_shannon","Sputum","Stool",16,15,14,3.38e-06,1.014e-05,"****",4.18416,1,0.8,1.2
"2","V2","diversity_shannon","Sputum","Stool",12,14,5,3.93e-06,1.179e-05,"****",4.38116,2,1.8,2.2
"3","V3","diversity_shannon","Sputum","Stool",10,10,7,0.000487,0.001461,"**",4.23916,3,2.8,3.2
