"rowname","Estimate","Std. Error","t value","Pr(>|t|)","p.adj","p.adj.signif"
"(Intercept)",32.1049327448098,18.002449220987,1.78336471613997,0.0947688907620904,0.151630225219345,"ns"
"Trainingfrequency",-11.4551438355016,6.04259522778628,-1.89573244668553,0.077429656646398,0.151630225219345,"ns"
"Trainingtime",-0.314164871441901,0.197708660445602,-1.58902938664308,0.132905069798205,0.151891508340806,"ns"
"BC_dist",-98.6286350780969,48.8954129281177,-2.01713472024652,0.0619450362000294,0.151630225219345,"ns"
"Trainingfrequency:Trainingtime",0.0935873103868433,0.0456413150151191,2.05049548541364,0.0582139156855085,0.151630225219345,"ns"
"Trainingfrequency:BC_dist",42.3901652478981,15.3357309188201,2.76414378110121,0.014468453219211,0.115747625753688,"ns"
"Trainingtime:BC_dist",0.607325959015777,0.606855269183707,1.00077562123289,0.332807092467641,0.332807092467641,"ns"
"Trainingfrequency:Trainingtime:BC_dist",-0.225186929108547,0.13586609911216,-1.65741807986002,0.118196311467127,0.151891508340806,"ns"
