"rowname","Estimate","Std. Error","t value","Pr(>|t|)","p.adj","p.adj.signif"
"(Intercept)",-4.46453464918472,4.066774556959,-1.09780726387822,0.285330217855825,0.285330217855825,"ns"
"Trainingfrequency",2.71435335129735,1.22108659878599,2.22289995975386,0.03791375750425,0.11374127251275,"ns"
"`Firmicutes-Staphylococcus`",0.110673296635512,0.0707008021015753,1.56537540375438,0.133180815812461,0.199771223718692,"ns"
