"","baseMean","log2FoldChange","lfcSE","padj","Phylum","Class","Family","Genus"
"ASV24",0.284268364785027,-1.47257547742849,3.02007177644119,0.982782760121968,"Firmicutes","Bacilli","Lactobacillaceae","Pediococcus"
"ASV30",418.780622106122,0.523091775871092,0.845149861170814,0.982782760121968,"Firmicutes","Bacilli","Carnobacteriaceae","Granulicatella"
"ASV34",60.6820055750979,-1.80566222698275,1.64685035418804,0.982782760121968,"Fusobacteriota","Fusobacteriia","Fusobacteriaceae","Fusobacterium"
"ASV42",0.446477043795171,-0.116435268799068,3.00899739674937,0.982782760121968,"Firmicutes","Clostridia","Ruminococcaceae","Faecalibacterium"
"ASV47",0.21855218166102,-0.972026542600589,3.02757671751179,0.982782760121968,"Bacteroidota","Bacteroidia","Rikenellaceae","Alistipes"
"ASV57",116.072530447731,-0.988529306924957,0.942600926695045,0.982782760121968,"Bacteroidota","Bacteroidia","Prevotellaceae","Alloprevotella"
"ASV62",19.4049716927954,-0.831484897840575,1.5250080783397,0.982782760121968,"Campilobacterota","Campylobacteria","Campylobacteraceae","Campylobacter"
"ASV66",0.173842085378453,1.78687789952677,3.02574486535062,0.982782760121968,"Proteobacteria","Gammaproteobacteria","Sutterellaceae","Sutterella"
"ASV68",1.3639341445728,-1.03362819871522,2.97059820267955,0.982782760121968,"Firmicutes","Negativicutes","Veillonellaceae","Dialister"
"ASV71",146.936928572406,-0.461899123189562,1.83097092134953,0.982782760121968,"Bacteroidota","Bacteroidia","Porphyromonadaceae","Porphyromonas"
"ASV76",0.57913238379044,-1.55881581613378,3.0186900428359,0.982782760121968,"Proteobacteria","Gammaproteobacteria","Enterobacteriaceae","Klebsiella"
"ASV82",371.893255959954,0.976108398414288,0.856866585652078,0.982782760121968,"Actinobacteriota","Actinobacteria","Actinomycetaceae","Actinomyces"
"ASV105",13.1416807665383,-0.387974002974314,1.95160144261455,0.982782760121968,"Firmicutes","Bacilli","Lactobacillaceae","Lactobacillus"
"ASV106",98.6017608871557,0.953231137262017,1.56685646344067,0.982782760121968,"Proteobacteria","Gammaproteobacteria","Pasteurellaceae","Haemophilus"
"ASV152",2.62739773912165,-1.32686748754491,2.51041699998411,0.982782760121968,"Proteobacteria","Gammaproteobacteria","Neisseriaceae","Neisseria"
"ASV154",14.5224140968904,-2.07388639935384,1.75594316231872,0.982782760121968,"Firmicutes","Clostridia","Lachnospiraceae","Lachnoanaerobaculum"
"ASV160",1.22915539164291,-0.579630443722916,1.94638047221285,0.982782760121968,"Actinobacteriota","Actinobacteria","Bifidobacteriaceae","Bifidobacterium"
"ASV190",16.4284923659637,0.483914304644373,1.90362445170287,0.982782760121968,"Firmicutes","Negativicutes","Veillonellaceae","Megasphaera"
"ASV192",40.1530834171122,-0.423244621794175,1.16898641035697,0.982782760121968,"Actinobacteriota","Coriobacteriia","Atopobiaceae","Atopobium"
"ASV198",31.5971737516378,1.52650470606873,1.31164643089226,0.982782760121968,"Actinobacteriota","Actinobacteria","Bifidobacteriaceae","Scardovia"
"ASV220",16.5471435205699,-0.861318004786046,1.73489834576406,0.982782760121968,"Firmicutes","Clostridia","Anaerovoracaceae","Mogibacterium"
"ASV244",30.3936225792358,-0.202782525190291,1.8073479625872,0.982782760121968,"Firmicutes","Clostridia","Lachnospiraceae","Stomatobaculum"
"ASV257",43.330920310404,0.27963113422643,1.3399905069059,0.982782760121968,"Firmicutes","Clostridia","Lachnospiraceae","Oribacterium"
"ASV258",35.2390369359086,0.43464676737546,1.50344044380435,0.982782760121968,"Bacteroidota","Bacteroidia","Flavobacteriaceae","Capnocytophaga"
"ASV282",8.23967065944568,3.38702621831024,2.48525467486013,0.982782760121968,"Firmicutes","Bacilli","Aerococcaceae","Abiotrophia"
"ASV296",10.3233829345176,-4.26381099462851,2.28718438891359,0.982782760121968,"Patescibacteria","Saccharimonadia","Saccharimonadaceae","TM7x"
"ASV316",2.14338790760573,-0.649962587873464,2.94717515017883,0.982782760121968,"Firmicutes","Clostridia","Peptostreptococcaceae","Peptostreptococcus"
"ASV326",11.2045473124187,-0.418637788703066,1.93318120665546,0.982782760121968,"Firmicutes","Clostridia","Lachnospiraceae","Catonella"
"ASV333",15.4762045943858,0.176844381275048,1.40544987638822,0.982782760121968,"Firmicutes","Bacilli","Erysipelotrichaceae","Solobacterium"
"ASV344",25.9946967038404,-0.853057538053289,1.59580568058229,0.982782760121968,"Fusobacteriota","Fusobacteriia","Leptotrichiaceae","Leptotrichia"
"ASV347",8.348709515741,1.19264918198434,1.90095386081655,0.982782760121968,"Actinobacteriota","Actinobacteria","Corynebacteriaceae","Corynebacterium"
"ASV367",0.460102055739159,-0.749994332894032,2.8082098770194,0.982782760121968,"Firmicutes","Bacilli","Mycoplasmataceae","Mycoplasma"
"ASV391",0.943693679735426,-2.94219642506906,2.99606365498854,0.982782760121968,"Proteobacteria","Gammaproteobacteria","Burkholderiaceae","Lautropia"
"ASV411",5.45824533345101,-1.09696002404495,2.225565045284,0.982782760121968,"Proteobacteria","Gammaproteobacteria","Neisseriaceae","Kingella"
"ASV437",1.20062482682502,-1.21301548407174,2.97646278691738,0.982782760121968,"Actinobacteriota","Actinobacteria","Bifidobacteriaceae","Alloscardovia"
"ASV466",5.67127821990248,0.282898902226316,2.83773074792125,0.982782760121968,"Actinobacteriota","Actinobacteria","Actinomycetaceae","F0332"
"ASV467",0.195554147663494,1.91381621797327,3.0238290882447,0.982782760121968,"Firmicutes","Clostridia","Lachnospiraceae","Shuttleworthia"
"ASV486",5.66668922669133,-5.31431759806881,2.53673359495155,0.982782760121968,"Spirochaetota","Spirochaetia","Spirochaetaceae","Treponema"
"ASV517",1.96336797618083,-0.413627317256843,2.94855262239622,0.982782760121968,"Proteobacteria","Gammaproteobacteria","Cardiobacteriaceae","Cardiobacterium"
"ASV532",5.15763681254052,0.290046890644145,2.61528053673702,0.982782760121968,"Firmicutes","Negativicutes","Selenomonadaceae","Selenomonas"
"ASV563",6.47189309663116,-1.21669990597077,2.43606980086513,0.982782760121968,"Patescibacteria","Saccharimonadia","Saccharimonadaceae","Candidatus Saccharimonas"
"ASV569",0.802641305303037,-1.15935644690455,2.99193411047382,0.982782760121968,"Actinobacteriota","Coriobacteriia","Eggerthellaceae","Cryptobacterium"
"ASV590",9.1159845554725,0.493880535284279,1.83058608619824,0.982782760121968,"Bacteroidota","Bacteroidia","Weeksellaceae","Bergeyella"
"ASV599",1.96980259714728,1.68836160518611,2.62679680665906,0.982782760121968,"Firmicutes","Negativicutes","Selenomonadaceae","Centipeda"
"ASV637",1.71563122007689,-3.02392854484072,2.85806476855372,0.982782760121968,"Firmicutes","Clostridia","Anaerovoracaceae","[Eubacterium] nodatum group"
"ASV670",0.307761922905896,0.3950311329259,3.01676972309487,0.982782760121968,"Firmicutes","Negativicutes","Veillonellaceae","Anaeroglobus"
"ASV688",0.106600636794385,-0.566839293533719,3.03194339512987,0.982782760121968,"Firmicutes","Clostridia","Peptostreptococcaceae","Clostridioides"
"ASV785",1.41692235276444,-0.247048730486267,2.90025190432628,0.982782760121968,"Bacteroidota","Bacteroidia","Tannerellaceae","Tannerella"
"ASV809",0.150426267433457,1.70015306656493,3.02681991510443,0.982782760121968,"Actinobacteriota","Coriobacteriia","Eggerthellaceae","Slackia"
"ASV934",0.069536834151381,1.17408830559608,3.03204599999225,0.982782760121968,"Firmicutes","Clostridia","Ruminococcaceae","Incertae Sedis"
"ASV955",0.726264073043598,-0.673135261012929,2.8264801373306,0.982782760121968,"Actinobacteriota","Actinobacteria","Propionibacteriaceae","Pseudopropionibacterium"
"ASV1109",0.0519585994371138,-0.242054588708854,2.99816118709039,0.982782760121968,"Synergistota","Synergistia","Synergistaceae","Jonquetella"
"ASV1150",0.0752131337167284,1.24678582106098,3.03121594920028,0.982782760121968,"Bacteroidota","Bacteroidia","Prevotellaceae","Prevotellaceae UCG-001"
"ASV1197",0.163053759467395,-0.931953131378989,3.02823854635342,0.982782760121968,"Firmicutes","Negativicutes","Acidaminococcaceae","Phascolarctobacterium"
"ASV1210",0.157335655472439,-0.902696294451358,3.02873254796729,0.982782760121968,"Actinobacteriota","Actinobacteria","Propionibacteriaceae","Propionibacterium"
"ASV1384",0.0786678277362195,-0.214935829524222,3.03492795390734,0.982782760121968,"Firmicutes","Clostridia","Lachnospiraceae","[Ruminococcus] gnavus group"
"ASV1428",0.069536834151381,1.17408830559608,3.03204599999225,0.982782760121968,"Firmicutes","Clostridia","Oscillospiraceae","UCG-003"
"ASV1461",0.0710670911962568,-0.214935829524223,3.03492795390734,0.982782760121968,"Actinobacteriota","Actinobacteria","Actinomycetaceae","Mobiluncus"
"ASV458",0.166293583232751,-0.000874398835106307,3.027165494308,0.999769530499034,"Firmicutes","Clostridia","Lachnospiraceae","Howardella"
