"","baseMean","log2FoldChange","lfcSE","padj","Phylum","Class","Family","Genus"
"ASV1",11212.4453772473,0.41420095341795,1.43367997154121,0.982782760121968,"Firmicutes","Bacilli","Staphylococcaceae","Staphylococcus"
"ASV2",1482.28490024933,0.505974174413418,1.46547436056006,0.982782760121968,"Proteobacteria","Gammaproteobacteria","Pseudomonadaceae","Pseudomonas"
"ASV4",5013.59440895291,0.341495760400525,0.786720902379585,0.982782760121968,"Firmicutes","Bacilli","Streptococcaceae","Streptococcus"
"ASV6",0.41681850304454,1.64611425279233,3.01065986536543,0.982782760121968,"Firmicutes","Clostridia","Lachnospiraceae","Blautia"
"ASV7",0.421256690056268,0.809402403669054,2.74442549176927,0.982782760121968,"Proteobacteria","Gammaproteobacteria","Enterobacteriaceae","Escherichia-Shigella"
"ASV8",1.57545446260773,4.39018593003519,2.98052528846666,0.982782760121968,"Firmicutes","Bacilli","Enterococcaceae","Enterococcus"
"ASV9",4.79632801241792,-3.27040003496498,2.64925204931365,0.982782760121968,"Proteobacteria","Gammaproteobacteria","Xanthomonadaceae","Stenotrophomonas"
"ASV10",2.2497267593878,-0.0957377993939389,2.13270786649014,0.982782760121968,"Bacteroidota","Bacteroidia","Bacteroidaceae","Bacteroides"
"ASV13",1193.47196588733,0.713197355882539,0.74282220469008,0.982782760121968,"Actinobacteriota","Actinobacteria","Micrococcaceae","Rothia"
"ASV14",1586.35565965787,-0.280338100366645,0.868166003681645,0.982782760121968,"Bacteroidota","Bacteroidia","Prevotellaceae","Prevotella"
"ASV17",0.138268664575269,-0.829439395229783,3.02964566121532,0.982782760121968,"Firmicutes","Clostridia","Lachnospiraceae","Agathobacter"
"ASV18",622.062283739026,0.667343481682482,0.526859598299549,0.982782760121968,"Firmicutes","Negativicutes","Veillonellaceae","Veillonella"
"ASV22",366.800777973372,0.796240242288073,0.755555643911149,0.982782760121968,"Firmicutes","Bacilli","Gemellaceae","Gemella"
