"","Sample_A","Sample_B","BC_distances"
"120","10P3V1A","10P10V2",0.995950788250993
"121","10P3V2","10P10V2",0.251117881112575
"122","10P3V2A","10P10V2",0.987352524775838
"123","10P2V3B","10P10V2",0.993502514856153
"124","10P3V3A","10P10V2",0.99577401712581
"125","10P4V1","10P10V2",0.835421480510249
"126","10P4V1A","10P10V2",0.940582896800864
"127","10P4V2","10P10V2",0.849127330293041
"128","10P4V2A","10P10V2",0.979166370285074
"129","10P4V3","10P10V2",0.844373442170386
"130","10P4V3A","10P10V2",0.971718227846488
"131","10P5V1","10P10V2",0.304484372547091
"132","10P5V2","10P10V2",0.987141879983618
"133","10P6V1","10P10V2",0.81021088178008
"134","10P6V1A","10P10V2",0.950171614045531
"135","10P6V2","10P10V2",0.90274021060656
"136","10P6V2A","10P10V2",1
"137","10P6V3","10P10V2",0.809227406387786
"138","10P6V3A","10P10V2",0.950149823944531
"139","10P7V1","10P10V2",0.98664955729348
"140","10P7V1A","10P10V2",0.998421678179779
"141","10P7V2","10P10V2",0.983661997137517
"142","10P7V3","10P10V2",0.920129786430983
"143","10P7V3A","10P10V2",0.99463718250406
"144","10P8V1","10P10V2",0.925077928102206
"145","10P8V1A","10P10V2",0.997676665912782
"146","10P8V2","10P10V2",0.78979504307599
"147","10P8V2A","10P10V2",0.943395576399549
"148","10P9V1","10P10V2",0.501468778019201
"149","10P9V1A","10P10V2",0.934490059402381
"150","10P9V1B","10P10V2",0.997002269710077
"151","10P9V2","10P10V2",0.986507793300996
"152","10P9V2A","10P10V2",1
"153","10P9V3","10P10V2",0.946436569778695
"154","10P9V3A","10P10V2",0.999761066683128
"155","10P10V1","10P10V2A",0.963062764270252
"156","10P10V2","10P10V2A",0.926376098038021
"157","10P10V2A","10P10V2A",0
"158","10P11V1","10P10V2A",0.966068114246405
"159","10P11V1A","10P10V2A",0.748969339255676
"160","10P11V2","10P10V2A",0.97770898144708
"161","10P12V1","10P10V2A",0.98013781550687
"162","10P12V1A","10P10V2A",0.830281353040881
"163","10P13V1","10P10V2A",0.848353017023442
"164","10P13V2","10P10V2A",0.838328968846657
"165","10P14V1","10P10V2A",0.938552070205162
"166","10P14V1A","10P10V2A",0.87529005371989
"167","10P14V2","10P10V2A",0.929068172536879
"168","10P14V2A","10P10V2A",0.822932669883628
"169","10P14V3","10P10V2A",0.936325966089543
"170","10P14V3A","10P10V2A",0.866540076969779
"171","10P15V1","10P10V2A",0.96357442398732
"172","10P15V1A","10P10V2A",0.800303221854974
"173","10P15V2","10P10V2A",0.928488407195565
"174","10P15V2A","10P10V2A",0.822688336735543
"175","10P15V3","10P10V2A",0.922203205227945
"176","10P15V3A","10P10V2A",0.854404419251616
"177","10P16V1","10P10V2A",0.847281140514024
"178","10P16V2","10P10V2A",0.815108489342012
"179","10P17V1","10P10V2A",0.833132669403779
"180","10P17V3A","10P10V2A",0.825428191503768
"181","10P17V3","10P10V2A",0.958075060882152
"182","10P18V1","10P10V2A",0.937463762118417
"183","10P18V1A","10P10V2A",0.824926590209106
"184","10P18V2","10P10V2A",0.922794460868212
"185","10P18V3","10P10V2A",0.931844495663756
"186","10P18V3A","10P10V2A",0.839738238595908
"187","10P1V1","10P10V2A",0.828579492392841
