"","baseMean","log2FoldChange","lfcSE","padj","Phylum","Class","Family","Genus"
"ASV34",826.335371307948,5.50584621596028,1.25596295421225,0.000956494714645518,"Fusobacteriota","Fusobacteriia","Fusobacteriaceae","Fusobacterium"
"ASV152",15.8582354026984,-6.89885825408668,1.6641890316242,0.00139033558145831,"Proteobacteria","Gammaproteobacteria","Neisseriaceae","Neisseria"
"ASV82",289.64380351887,-1.95162338212253,0.557785007015584,0.0127705430999504,"Actinobacteriota","Actinobacteria","Actinomycetaceae","Actinomyces"
