"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","v.PCoA1","Pseudomonas","Staphylococcus",7,16,112,8.16e-06,2.448e-05,"****",0.51168,1,2
"2","v.PCoA1","Pseudomonas","Stenotrophomonas",7,3,17,0.183,0.183,"ns",0.589296,1,3
"3","v.PCoA1","Pseudomonas","Streptococcus",7,8,56,0.000311,0.000622,"***",0.666912,1,4
"4","v.PCoA1","Staphylococcus","Stenotrophomonas",16,3,0,0.002,0.003,"**",0.744528,2,3
"5","v.PCoA1","Staphylococcus","Streptococcus",16,8,0,2.72e-06,1.632e-05,"****",0.822144,2,4
"6","v.PCoA1","Stenotrophomonas","Streptococcus",3,8,22,0.048,0.0576,"ns",0.89976,3,4
