"","baseMean","log2FoldChange","lfcSE","padj","Phylum","Class","Family","Genus"
"ASV120",12.348497158062,-23.3512401695017,2.93916289698015,3.05222015840153e-13,"Firmicutes","Clostridia","Peptostreptococcaceae","Clostridioides"
"ASV261",10.1258854358535,22.5077002981135,2.93608160591958,1.39404331072005e-12,"Actinobacteriota","Coriobacteriia","Eggerthellaceae","Senegalimassilia"
