"rowname","Estimate","Std. Error","t value","Pr(>|t|)","p.adj","p.adj.signif"
"(Intercept)",0.506999457039551,0.137931907509364,3.67572279825922,0.00365297266337177,0.00730594532674355,"**"
"ab_prior",0.141330370253358,0.0472579364515968,2.9906166215724,0.012284150107247,0.0147409801286964,"*"
"ab_during",0.0657914380544558,0.0273608463405247,2.40458344144899,0.0349479381013069,0.0349479381013069,"*"
"iv_prior",-0.492165878685302,0.114403888602795,-4.30200305860302,0.00125176017213787,0.00730594532674355,"**"
"iv_during",0.332656119699219,0.110445723815446,3.01194204906552,0.0118247584155407,0.0147409801286964,"*"
"ab_prior:ab_during",-0.0624223506825683,0.0159861840206503,-3.90476868037636,0.00245633956539787,0.00730594532674355,"**"
