"rowname","Estimate","Std. Error","t value","Pr(>|t|)","p.adj","p.adj.signif"
"(Intercept)",-11.2985136062722,4.54781898893566,-2.4843806742881,0.0224674191054559,0.0299565588072745,"*"
"Trainingfrequency",4.11628280299561,1.38933259843393,2.96277709717279,0.00799326786490582,0.0159865357298116,"*"
"`Firmicutes-Staphylococcus`",0.263251542934505,0.0805964762875658,3.26629097276203,0.00406217494848043,0.0159865357298116,"*"
"`Firmicutes-Streptococcus`",0.289084380634194,0.133422329798528,2.16668664885946,0.0431781424730625,0.0431781424730625,"*"
